序号,题目,难度,分数,题型,选项(A),选项(B),选项(C),选项(D),选项(E),答案,
423,风冷大涡旋空气侧换热器结构形式采用倒M型。,,,判断题,正确,错误,,,,错误,
424,我司SCWE100H-B定频水冷螺杆的负荷调节范围是多少？,,,单选题,8%~100%,15%~100%,10%~100%,25%~100%,,D,
425,我司变频螺杆SCWF系列双机头负荷调节范围是多少？,,,单选题,8%~100%,15%~100%,10%~100%,25%~100%,,A,
426,我司变频高温螺杆热泵系列负荷调节范围是多少？,,,单选题,8%~100%,15%~100%,10%~100%,25%~100%,,D,
427,我司水冷螺杆做热回收有几个壳管？,,,单选题,1,2,3,4,,C,
428,我司变频高温螺杆热泵R134A运行时冷凝器最高出水温度为多少℃？,,,单选题,60,80,85,95,,C,
429,水冷螺杆冷冻水出水温度升高1℃，主机效率提升约？,,,单选题,1%,2%,3%,4%,,C,
430,美的常规低温蓄冷水冷螺杆机组，冷冻水最低出水温度是多少？,,,单选题,-10,-6,-5,-8,,B,
431,美的定频系列螺杆式冷水机组常规的启动方式是？,,,单选题,直接启动,固态软启动,变频启动,星三角启动,,D,
432,我司水冷螺杆标准机标配触摸屏是多少寸？,,,单选题,7,10,12,15,,A,
433,我司水冷螺杆标准机的技术特点不含以下哪个？,,,单选题,半封闭压缩机,降膜蒸发器,冷媒冷却电机,环保冷媒,,B,
434,我司水冷涡旋标准模块有哪几个冷量？,,,多选题,50RT,75RT,110RT,130RT,,ABC,
435,我司高温变频螺杆热泵机组可以用哪些冷媒？,,,多选题,R515B,R410a,R32,R134a,,AD,
436,我司常规水冷螺杆机组包含以下哪些系统零部件？,,,多选题,油分离器,冷油器,经济器,冷媒过滤器,,AD,
437,以下关于美的SCWF-EV系列变频水冷螺杆机组正确的有,,,多选题,采用全封闭式压缩机,采用第三代5齿对6齿螺旋转子,压缩机电机防护等级IP54，绝缘等级F级,采用三重回油系统,,BCD,
438,对于地铁等负荷波动变化比较大的应用场所，适宜推荐哪些系统冷水机组？,,,多选题,CCWG系列,SCWF-EV系列,SCWE-H-B系列,RHWE系列,,AB,
439,我司定频水冷螺杆的出水温度控制精度为±0.1℃,,,是非题,正确,错误,,,,B,
440,我司双机头水冷螺杆机组现场配电只需要一路强电进线即可,,,是非题,正确,错误,,,,A,
441,我司双机头水冷螺杆标准机为双冷媒系统,,,是非题,正确,错误,,,,B,
442,我司水冷螺杆机不能做变频水地源热泵,,,是非题,正确,错误,,,,B,
443,我司水冷螺杆机组压缩机电机采用冷媒吸气冷却,,,是非题,正确,错误,,,,A,
444,某风量为30000m3⁄h的空气处理机组，表冷器迎面风速2.4m/s，冷水进水温度6℃，设计送风温度15.5℃，表冷器位于送风机上游。该机组夏季运行中发现机组底部渗水，打开检修门发现凝水盘大量积水。出现上述现象最有可能的原因，是下列哪一项？,,,单选题,未设挡水板,冷水进水温度偏低,凝水盘排水管未设水封或水封高度不够,表冷器换热面积过大,,C,
445,以下关于美的标准空调箱说法，哪项是错误的？,,,单选题,吊式F系列空调箱，箱体最低厚度为390mm,吊式G系列空调箱，箱体最低厚度为390mm,吊式F系列空调箱，最大风量15000m3/h,吊式G系列空调箱，最大风量15000m3/h,,B,
446,以下关于美的标准射流G系列空调箱说法，哪项是错误的？,,,单选题,02D型号有1个喷口,06D型号有2个喷口,10D型号射程范围20~30m,15D型号射程范围35~45m,,D,
447,以下关于美的标准射流G系列空调箱说法，哪项是正确的？,,,单选题,射流喷口采用电动可调式球形喷口,可根据用户特殊要求选配板式初效或中效过滤器，过滤效率可达G4、F6、F8级。,面对机组进风口（顺气流方向），接管在左为左接，反之为右接,机组冷量计算条件：进水温度5℃，温差7℃,,C,
448,以下关于美的标准吊式F系列空调箱说法，哪项是错误的？,,,单选题,箱体外面板采用优质镀锌板,低风量机型取消传统皮带传动方案，采用双出轴直驱结构设计,机组的凝结水采用提升泵进行排放，可适应各种安装场景,标配尼龙网,,C,
449,以下关于美的标准四代立式空调箱（D系列）说法，哪项是错误的？,,,单选题,机组采用新型复合材料，箱体强度达欧洲2级指标,机组分为吊式、卧式、立式、直膨式,整机箱体的防冷桥系数满足欧洲空气处理机组标准EN1886的TB2级要求，防凝露效果出色，气密性好,卧式系列风量范围5000-50000m3/h,,B,
450,以下关于美的标准四代立式空调箱（D系列）定制项说法，哪项是正确的？,,,单选题,可定制镀锌板水盘,可定制铝合金挡水板或不锈钢挡水板,可定制F6+静电除尘,可定制微雾加湿或直排水湿膜加湿,,B,
451,空调区湿度控制精度要求严格(≤±5%)，满足使用条件情况下，对应组空加湿器宜采用,,,单选题,干蒸汽加湿,湿膜加湿,淋水加湿,高压喷雾加湿,,A,
452,下面那种段位的组空最可能是用于一次回风空调系统,,,单选题,混合段+袋式粗效段+表冷挡水段+热水加热段+送风机段,新风段+袋式粗效段+表冷挡水段+热水加热段+送风机段,新风段+袋式粗效段+中间段+表冷挡水段+热水加热段+送风机段,混合段+袋式粗效段+表冷挡水段+回风段+热水加热段+送风机段,,A,
453,某空调工程夏季采用表冷器处理空气，当实际运行风量小于设计风量时（进风参数、进水温度、水流量不变），关于该表冷器处理能力和空气参数的变化，下列哪几项是正确的？,,,多选题,总换热量下降,总换热量上升,出口处空气含湿量降低,出口处空气干球温度升高,,AC,
454,某空调系统设有风管电加热器，下列设计要求中，哪几项是正确的？,,,多选题,系统启动时，风机开启后、延时开启电加热器,系统停止时，电加热器关闭、延时停止风机,针对风机无风电加热器断电保护的要求，采用与风机电机开关连锁同时启停的措施,电加热器采用接地及剩余电流保护措施,,ABD,
455,下列关于空气处理过程的描述，哪几项是正确的？,,,多选题,湿膜加湿为等焓加湿过程,电极、电加热加湿为等温加湿过程,高压微雾为等焓加湿过程,表冷器降温除湿为减焓减湿过程,,ABCD,
456,属于直接膨胀式系统的是哪几项？,,,多选题,多联机,工业柜机,蒸发冷凝冷水机组,吊式射流空调箱,,AB,
457,以下关于组空说法那些是正确的？,,,多选题,洁净场合，高效过滤器设置于系统末端,舒适性空调系统，过滤器可设置在机组的负压段,亲水铝翅片是在普通铝箔表面涂上一层亲水膜,目前美的组空所用风机主要是轴流风机,,ABC,
458,请判断：IP防护等级是由两个数字所组成，第1个数字表示防外物，防尘侵入的等级，第2个数字表示防水侵入的密闭程度,,,是非题,正确,错误,,,,正确,
459,请判断：空调箱型号MKS03DSY，代表机型风量3000m3/h，形式为卧式空调机组,,,是非题,正确,错误,,,,错误,
460,请判断：美的直膨机/组空总高大于2900mm或者机组总宽大于4100mm，采用散件运输；其余为整机分段运输；,,,是非题,正确,错误,,,,正确,
461,请判断：美的直膨机/组空面板厚度有20mm、30mm、50mm几档可定制；,,,是非题,正确,错误,,,,错误,
462,MDV9室内机与MDV8室内机不通用？,是非题,,是非题,正确,错误,,,,,
463,MDV9室外机内置电表为选配项？,是非题,,是非题,正确,错误,,,,,
464,以下哪些是非可燃性的冷媒？,多选题,,多选题,R290,R515B,R410A,R134a,R1233zd(E),B，C，D，E,
465,以下哪些是差异化定制产品？,多选题,,多选题,风冷螺杆：R134a单冷机组,冰（水）蓄冷水冷螺杆,CCWG双机头磁悬浮,RHWE/RCWE系列水冷涡旋,,A，B，C,
466,MDV9是行业内唯一可纯直流输入，随时接入光伏进行绿电消纳的设备,是非题,,是非题,正确,错误,,,,A,
467,菱王电梯目前在国内拥有多少个基地？,单选题,,单选题,2,3,4,5,,D,
468,以下哪个不是菱王载货电梯的系列产品？,单选题,,单选题,菱敏商务系列,菱王战斗机系列,菱畅高速系列,菱硕重载系列,,B,
469,以下哪几项不是菱王电梯的卖点？,单选题,,单选题,全国销量领先,载重领先,运载效率领先,运行速度领先,提升高度领先,C,
470,以下哪几项是领沃电梯国债换新产品升级亮点？,多选题,,,轿厢装潢升级,安全配置升级,运载效率升级,智能化升级,服务升级,ABCDE,
471,"LINVOL别墅电梯分为HOMIN土建，HOMI观光，CUBY-S平台梯3个系列，它们均为钢带梯, 配置永磁同步钢带曳引主机",是非题,,是非题,正确,错误,,,,正确,
472,以下哪些城市是东芝电梯工厂所在地？,多选题,,,上海,郑州,沈阳,广州,重庆,"A,C",
473,东芝超高速电梯曾以16.8m/s速度获得吉尼斯世界纪录认证。,是非题,,是非题,正确,错误,,,,正确,
474,以下属于东芝电梯经典项目案例的是？,多选题,,多选题,上海环球金融中心,台北101,东京晴空塔,上海浦东国际机场卫星厅,澳门银河酒店,ABCDE,
475,东芝电梯于哪一年进入中国？,单选题,,单选题,1993年,1994年,1995年,1996年,,C,
476,以下哪项属于东芝电梯独有的前沿领先电梯技术？,单选题,,单选题,螺杆调节层间距的双层轿厢技术,远程监控技术,特种畜牧电梯,50T超大载重货梯,,A,
477,高效制冷机房系统能效指标业内共识的高效机房的最低标准是多少,单选题,,单选题,7,6,5,4,,C,
478,美的楼宇科技哪个基地工厂被评为“灯塔工厂”,单选题,,单选题,重庆工厂,合肥工厂,顺德工厂,荆州工厂,,A,
479,蒸汽高温热泵现在最多做到多少度,单选题,,单选题,110-125,130-145,160-175,180-195,,D,
480,楼控控制器是用220V供电的,是非题,,是非题,正确,错误,,,,错误,
481,美的磁悬浮机组可定制10KV电压,是非题,,是非题,正确,错误,,,,错误,
482,哪些是广东美的暖通设备有限公司目前具备的资质？,多选题,,多选题,机电工程施工总承包一级,电子与智能化工程专业承包一级,电子与智能化工程专业承包二级,建筑机电安装工程专业承包二级,,ACD,
483,在高温热泵替代锅炉的应用中，行业内说的1蒸吨，大概是多少兆瓦？,单选题,,单选题,0.5,0.7,0.9,1,,B,
484,美的磁悬浮整机最新质保政策是几年？,单选题,,单选题,2,3,5,10,,C,
485,美的楼宇科技节能改造除了花旗大厦，还有哪些典型的案例,多选题,,多选题,广东奥体中心,北京鼎好DH3,复旦大学附属公共卫生中心,上海市第一百货大厦,鸟巢国家体育场(多联机),ABCDE,
486,变频高温螺杆热泵R134A运行时冷凝器最高出水温度为？,单选题,,单选题,80℃,75℃,85℃,90℃,,C,
487,美的风冷大涡旋能效等级为COP新国标一级,是非题,,是非题,正确,错误,,,,错误,
488,变频烈焰二代DNL-VE4800/NSN8-H3（T）单线控器最大并联台数为几台,单选题,,单选题,4,5,8,16,,B,
489,以下是工业高温热泵可用的热源是？,多选题,,多选题,高温废水,高温废气,地下水,地表水,,AB,
490,哪个不是美的应对工业场景的水机产品,单选题,,单选题,高温离心热泵,磁悬浮冷机,工业柜机,高温螺杆热泵,,C,
491,楼控控制对象包括哪些系统,多选题,,多选题,空调系统,消防排烟系统,给排水系统,照明系统,,ACD,
492,高效制冷机房预估初投资大约2500～3000/rt,是非题,,是非题,正确,错误,,,,正确,
